"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.82921cd6e459","annexes.a2.3_learning_outcomes|table_cell","Assist others with data and information management, processing and analysis in digital environments.","Anderen helpen bij het beheer, de verwerking en de analyse van gegevens en informatie in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.19","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.32","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.52","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.f324eb2a4874","annexes.a2.3_learning_outcomes|table_cell","LO1.3.30","LO1.3.30"
"doc.annexes.a2.3_learning_outcomes.table_cell.f083a2a4b07b","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the importance of structuring and documenting data and information in digital environments for the benefit of others.","Het belang erkennen van het structureren en documenteren van gegevens en informatie in digitale omgevingen ten behoeve van anderen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.9","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.13","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.17","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.ec468d2a24c9","annexes.a2.3_learning_outcomes|table_cell","LO1.3.31","LO1.3.31"
"doc.annexes.a2.3_learning_outcomes.table_cell.9dd931c78035","annexes.a2.3_learning_outcomes|table_cell","Stay informed about digital technological developments in data and information management and analysis.","Op de hoogte blijven van technologische ontwikkelingen op het gebied van beheer en analyse van digitale gegevens en informatie."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.10","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.14","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.53","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.3009cb22e298","annexes.a2.3_learning_outcomes|table_cell","LO1.3.32","LO1.3.32"
"doc.annexes.a2.3_learning_outcomes.table_cell.b3c6c9add508","annexes.a2.3_learning_outcomes|table_cell","Develop and implement strategies for complex or specialised data and information management, processing and analysis in digital environments.","Strategieën ontwikkelen en implementeren voor complex of gespecialiseerd beheer, verwerking en analyse van gegevens en informatie in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.11","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.33","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.54","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.71288e7a6d9b","annexes.a2.3_learning_outcomes|table_cell","LO1.3.33","LO1.3.33"
"doc.annexes.a2.3_learning_outcomes.table_cell.eb3a7866ac71","annexes.a2.3_learning_outcomes|table_cell","Use a variety of tools and methods such as big data techniques or simulations to process, manage or analyse complex data or large volumes of information.","Een verscheidenheid aan hulpmiddelen en methoden gebruiken, zoals big data-technieken of simulaties, om complexe gegevens of grote hoeveelheden informatie te verwerken, te beheren of te analyseren."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.12","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.34","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.55","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.1bb87469ce68","annexes.a2.3_learning_outcomes|table_cell","LO1.3.34","LO1.3.34"
"doc.annexes.a2.3_learning_outcomes.table_cell.b2c45b1e2324","annexes.a2.3_learning_outcomes|table_cell","Lead or contribute to initiatives that support others in advanced information and data management, processing and analysis in digital environments.","Leiding geven aan of bijdragen aan initiatieven die anderen ondersteunen bij geavanceerd informatie- en gegevensbeheer, verwerking en analyse in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.13","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.35","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.56","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.829f8f3863b3","annexes.a2.3_learning_outcomes|table_cell","LO1.3.35","LO1.3.35"
"doc.annexes.a2.3_learning_outcomes.table_cell.39dcb9d9adf5","annexes.a2.3_learning_outcomes|table_cell","Contribute to improvements in or new solutions for complex data management, processing or analysis in digital environments.","Bijdragen aan verbeteringen in of nieuwe oplossingen voor complex gegevensbeheer, verwerking of analyse in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.14","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.36","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.57","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.6a659f8472a6","annexes.a2.3_learning_outcomes|table_cell","COMPETENCE AREA 2: COMMUNICATION AND COLLABORATION - Competence 2.1 Interacting through and with digital technologies\nBack to Section 3","COMPETENTIEGEBIED 2: COMMUNICATIE EN SAMENWERKING - Competentie 2.1 Interactie via en met digitale technologieën\nTerug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.6a659f8472a6.1","annexes.a2.3_learning_outcomes|table_cell","COMPETENCE AREA 2: COMMUNICATION AND COLLABORATION - Competence 2.1 Interacting through and with digital technologies\nBack to Section 3","COMPETENTIEGEBIED 2: COMMUNICATIE EN SAMENWERKING - Competentie 2.1 Interactie via en met digitale technologieën\nTerug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.6a659f8472a6.2","annexes.a2.3_learning_outcomes|table_cell","COMPETENCE AREA 2: COMMUNICATION AND COLLABORATION - Competence 2.1 Interacting through and with digital technologies\nBack to Section 3","COMPETENTIEGEBIED 2: COMMUNICATIE EN SAMENWERKING - Competentie 2.1 Interactie via en met digitale technologieën\nTerug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.6a659f8472a6.3","annexes.a2.3_learning_outcomes|table_cell","COMPETENCE AREA 2: COMMUNICATION AND COLLABORATION - Competence 2.1 Interacting through and with digital technologies\nBack to Section 3","COMPETENTIEGEBIED 2: COMMUNICATIE EN SAMENWERKING - Competentie 2.1 Interactie via en met digitale technologieën\nTerug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.6a659f8472a6.4","annexes.a2.3_learning_outcomes|table_cell","COMPETENCE AREA 2: COMMUNICATION AND COLLABORATION - Competence 2.1 Interacting through and with digital technologies\nBack to Section 3","COMPETENTIEGEBIED 2: COMMUNICATIE EN SAMENWERKING - Competentie 2.1 Interactie via en met digitale technologieën\nTerug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.7f105e626849.3","annexes.a2.3_learning_outcomes|table_cell","ID","ID"
"doc.annexes.a2.3_learning_outcomes.table_cell.6b3e8b9eee21.3","annexes.a2.3_learning_outcomes|table_cell","Learning Outcome","Leerresultaat"
"doc.annexes.a2.3_learning_outcomes.table_cell.58455a4223da.3","annexes.a2.3_learning_outcomes|table_cell","Proficiency level","Beheersingsniveau"
"doc.annexes.a2.3_learning_outcomes.table_cell.7749ae779807.3","annexes.a2.3_learning_outcomes|table_cell","Knowledge, skill or attitude","Kennis, vaardigheid of attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.37f41acb6b6e.3","annexes.a2.3_learning_outcomes|table_cell","AI label","AI-label"
"doc.annexes.a2.3_learning_outcomes.table_cell.4196c42af637","annexes.a2.3_learning_outcomes|table_cell","LO2.1.01","LO2.1.01"
"doc.annexes.a2.3_learning_outcomes.table_cell.3551766959d9","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the importance of taking others’ preferences into account in digital communication.","Het belang erkennen van het rekening houden met de voorkeuren van anderen in digitale communicatie."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.20","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.15","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.18","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.6fabad4ca5ef","annexes.a2.3_learning_outcomes|table_cell","LO2.1.02","LO2.1.02"
"doc.annexes.a2.3_learning_outcomes.table_cell.da9d8cab79d0","annexes.a2.3_learning_outcomes|table_cell","Distinguish between synchronous and asynchronous forms of digital communication.","Onderscheid maken tussen synchrone en asynchrone vormen van digitale communicatie."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.21","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.35","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.19","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.79155c3e31a1","annexes.a2.3_learning_outcomes|table_cell","LO2.1.03","LO2.1.03"
"doc.annexes.a2.3_learning_outcomes.table_cell.524a2aad31f2","annexes.a2.3_learning_outcomes|table_cell","Identify differences between digital and non-digital interactions.","Verschillen identificeren tussen digitale en niet-digitale interacties."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.22","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.36","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.58","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.7ac719e9d067","annexes.a2.3_learning_outcomes|table_cell","LO2.1.04","LO2.1.04"
"doc.annexes.a2.3_learning_outcomes.table_cell.a7b1512bb4ba","annexes.a2.3_learning_outcomes|table_cell","Distinguish between physical and virtual realities.","Onderscheid maken tussen fysieke en virtuele realiteiten."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.23","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.37","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.59","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.6202e3673d86","annexes.a2.3_learning_outcomes|table_cell","LO2.1.05","LO2.1.05"
"doc.annexes.a2.3_learning_outcomes.table_cell.1f7562e6be17","annexes.a2.3_learning_outcomes|table_cell","Identify basic features and functions of digital communication tools.","Basisfuncties en -kenmerken van digitale communicatiemiddelen identificeren."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.24","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.38","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.60","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.17648ca2573b","annexes.a2.3_learning_outcomes|table_cell","LO2.1.06","LO2.1.06"
"doc.annexes.a2.3_learning_outcomes.table_cell.bd653f3e754d","annexes.a2.3_learning_outcomes|table_cell","Identify basic features of virtual assistants (chatbots) and AI systems used in communication contexts.","Basiskenmerken identificeren van virtuele assistenten (chatbots) en AI-systemen die worden gebruikt in communicatiecontexten."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.25","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.39","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.11","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.8f2d3b148446","annexes.a2.3_learning_outcomes|table_cell","LO2.1.07","LO2.1.07"
"doc.annexes.a2.3_learning_outcomes.table_cell.1cb11fbba90f","annexes.a2.3_learning_outcomes|table_cell","Recognise key differences between human-to-machine and human-to-human interactions.","De belangrijkste verschillen herkennen tussen mens-machine-interactie en mens-tot-mens-interactie."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.26","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.40","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.61","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.65e3713150c1","annexes.a2.3_learning_outcomes|table_cell","LO2.1.08","LO2.1.08"
"doc.annexes.a2.3_learning_outcomes.table_cell.3050173e1b97","annexes.a2.3_learning_outcomes|table_cell","Recognise in general terms what a robot is, including their non-human nature.","In algemene termen herkennen wat een robot is, inclusief de niet-menselijke aard ervan."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.27","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.41","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.20","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ec5e14b5609","annexes.a2.3_learning_outcomes|table_cell","LO2.1.09","LO2.1.09"
"doc.annexes.a2.3_learning_outcomes.table_cell.8b1569577ab2","annexes.a2.3_learning_outcomes|table_cell","Recognise that humans interact with robots in order to carry out tasks.","Herkennen dat mensen interageren met robots om taken uit te voeren."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.28","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.42","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.21","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.d30f1fdecd97","annexes.a2.3_learning_outcomes|table_cell","LO2.1.10","LO2.1.10"
"doc.annexes.a2.3_learning_outcomes.table_cell.eb5032c7a173","annexes.a2.3_learning_outcomes|table_cell","Use basic features of digital communication tools to interact with individuals and groups.","Basisfuncties van digitale communicatiemiddelen gebruiken voor interactie met individuen en groepen."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.29","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.37","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.62","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.b52ae2ec9ca8","annexes.a2.3_learning_outcomes|table_cell","LO2.1.11","LO2.1.11"
"doc.annexes.a2.3_learning_outcomes.table_cell.210548542b13","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the importance of tailoring one’s digital communication to specific contexts.","Het belang erkennen van het afstemmen van de eigen digitale communicatie op specifieke contexten."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.32","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.16","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.22","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.ce23aed22158","annexes.a2.3_learning_outcomes|table_cell","LO2.1.12","LO2.1.12"
"doc.annexes.a2.3_learning_outcomes.table_cell.0accbba58359","annexes.a2.3_learning_outcomes|table_cell","Recognise that there is a reality-virtuality continuum in digital environments.","Herkennen dat er een realiteit-virtualiteitscontinuüm bestaat in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.33","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.43","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.63","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.27f397852126","annexes.a2.3_learning_outcomes|table_cell","LO2.1.13","LO2.1.13"
"doc.annexes.a2.3_learning_outcomes.table_cell.1a7993b70c59","annexes.a2.3_learning_outcomes|table_cell","Describe main features and functions of a range of digital communication tools.","De belangrijkste kenmerken en functies van een scala aan digitale communicatiemiddelen beschrijven."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.34","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.44","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.64","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.468a9be7fa95","annexes.a2.3_learning_outcomes|table_cell","LO2.1.14","LO2.1.14"
"doc.annexes.a2.3_learning_outcomes.table_cell.8433153bec39","annexes.a2.3_learning_outcomes|table_cell","Describe benefits and limitations of virtual assistants (chatbots) and AI systems in digital communication contexts.","Voordelen en beperkingen beschrijven van virtuele assistenten (chatbots) en AI-systemen in digitale communicatiecontexten."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.35","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.45","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.12","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.e3f8bf5fce3b","annexes.a2.3_learning_outcomes|table_cell","LO2.1.15","LO2.1.15"
"doc.annexes.a2.3_learning_outcomes.table_cell.1568aa2d7153","annexes.a2.3_learning_outcomes|table_cell","Identify contexts in which asynchronous or synchronous digital communication, or non-digital communication, may work best.","Contexten identificeren waarin asynchrone of synchrone digitale communicatie, of niet-digitale communicatie, het beste werkt."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.36","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.46","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.23","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.0c05e8c12571","annexes.a2.3_learning_outcomes|table_cell","LO2.1.16","LO2.1.16"
"doc.annexes.a2.3_learning_outcomes.table_cell.eef590517802","annexes.a2.3_learning_outcomes|table_cell","Identify key features of robots (such as sensors, software, motion controls and human interface).","De belangrijkste kenmerken van robots identificeren (zoals sensoren, software, bewegingsregelaars en menselijke interface)."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.37","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.47","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.65","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.e4d67f65e152","annexes.a2.3_learning_outcomes|table_cell","LO2.1.17","LO2.1.17"
"doc.annexes.a2.3_learning_outcomes.table_cell.9a567eaf3877","annexes.a2.3_learning_outcomes|table_cell","Define examples of how humans can interact with robots.","Voorbeelden definiëren van hoe mensen met robots kunnen interageren."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.38","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.48","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.66","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.2bba9ac3f99c","annexes.a2.3_learning_outcomes|table_cell","LO2.1.18","LO2.1.18"
"doc.annexes.a2.3_learning_outcomes.table_cell.7f3a34e53474","annexes.a2.3_learning_outcomes|table_cell","Recognise that robots can operate with varying degrees of autonomy.","Herkennen dat robots met verschillende gradaties van autonomie kunnen werken."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.39","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.49","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.67","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9984ccd5f0a4","annexes.a2.3_learning_outcomes|table_cell","LO2.1.19","LO2.1.19"
"doc.annexes.a2.3_learning_outcomes.table_cell.e3a1d6012dba","annexes.a2.3_learning_outcomes|table_cell","Select suitable communication means and tools, considering digital and non-digital options, for a given context or purpose.","Geschikte communicatiemiddelen en -hulpmiddelen selecteren voor een bepaalde context of een bepaald doel, rekening houdend met digitale en niet-digitale opties."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.40","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.38","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.68","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.597511a50662","annexes.a2.3_learning_outcomes|table_cell","LO2.1.20","LO2.1.20"
"doc.annexes.a2.3_learning_outcomes.table_cell.e2d477f94ac9","annexes.a2.3_learning_outcomes|table_cell","Develop and refine questions, commands or statements (prompts) for virtual assistants (chatbots) and AI systems to support non-complex digital interactions.","Vragen, commando's of verklaringen (prompts) ontwikkelen en verfijnen voor virtuele assistenten (chatbots) en AI-systemen ter ondersteuning van niet-complexe digitale interacties."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.41","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.39","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.13","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.f92edf3a6bad","annexes.a2.3_learning_outcomes|table_cell","LO2.1.21","LO2.1.21"
"doc.annexes.a2.3_learning_outcomes.table_cell.23e77a87ab82","annexes.a2.3_learning_outcomes|table_cell","Use multiple features of a variety of digital communication tools to interact with and manage individuals, groups and channels.","Meerdere functies van diverse digitale communicatiemiddelen gebruiken om te communiceren met en het beheren van individuen, groepen en kanalen."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.42","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.40","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.69","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.b5237d659178","annexes.a2.3_learning_outcomes|table_cell","LO2.1.22","LO2.1.22"
"doc.annexes.a2.3_learning_outcomes.table_cell.ba39be79630c","annexes.a2.3_learning_outcomes|table_cell","Continually adapt communication in digital environments in response to a variety of contexts.","Communicatie in digitale omgevingen voortdurend aanpassen in reactie op uiteenlopende contexten."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.20","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.17","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.24","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.44987479158c","annexes.a2.3_learning_outcomes|table_cell","LO2.1.23","LO2.1.23"
"doc.annexes.a2.3_learning_outcomes.table_cell.fa3a11fb012f","annexes.a2.3_learning_outcomes|table_cell","Combine digital communication tools and methods for complex communication tasks.","Digitale communicatiemiddelen en -methoden combineren voor complexe communicatietaken."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.21","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
